利潤率,記錄數,利潤 (bin),利潤,區域,國家/地區,城市,子類別,客戶名稱,折扣,數量,產品名稱,省/自治區,細分,製造商,訂單 Id,訂單日期,郵寄方式,郵寄日期,銷售額,類別
0.179440389,1,$0.00,$35.40,北亞,China,Quanzhou,紙張,Valerie Takahito,0%,4,"Eaton Cards & Envelopes, 8.5 x 11",Fujian,總公司,Eaton,IN-2018-27828,2018/8/27,標準級,2018/8/31,$197,辦公用品
0.069719754,1,$0.00,$21.42,北亞,China,Quanzhou,用具,Valerie Takahito,0%,7,"Tenex Door Stop, Black",Fujian,總公司,Tenex,IN-2018-27828,2018/8/27,標準級,2018/8/31,$307,傢具
0.369979750,1,$444.00,$526.20,北亞,China,Quanzhou,複製器,Valerie Takahito,0%,4,"Sharp Wireless Fax, Digital",Fujian,總公司,Sharp,IN-2018-27828,2018/8/27,標準級,2018/8/31,"$1,422",技術
0.379609544,1,$0.00,$78.75,北亞,China,Quanzhou,配件,Valerie Takahito,0%,3,"Memorex Keyboard, Erganomic",Fujian,總公司,Memorex,IN-2018-27828,2018/8/27,標準級,2018/8/31,$207,技術
0.305713861,1,$0.00,$37.01,東南亞,Philippines,Marikina,器具,Sean O'Donnell,15%,2,"KitchenAid Coffee Grinder, Silver",Metro Manila,消費者,KitchenAid,IN-2019-63178,2019/6/24,標準級,2019/6/30,$121,辦公用品
0.247368421,1,$0.00,$2.82,中亞,India,New Delhi,繫結器,Shui Tom,0%,2,"Cardinal Hole Reinforcements, Recycled",Delhi,消費者,Cardinal,IN-2016-29067,2016/5/31,二級,2016/6/4,$11,辦公用品
0.279926757,1,$0.00,$73.38,北亞,Japan,Tokyo,電話,Chad Sievert,0%,2,"Motorola Speaker Phone, Full Size",Tokyo,消費者,Motorola,IN-2017-15361,2017/8/16,標準級,2017/8/22,$262,技術
0.132179584,1,$0.00,$4.74,大洋洲,Australia,Sydney,標籤,Kean Nguyen,10%,3,"Avery Color Coded Labels, Laser Printer Compatible",New South Wales,公司,Avery,IN-2016-79397,2016/1/3,當日,2016/1/3,$36,辦公用品
0.399895691,1,$0.00,$110.41,大洋洲,Australia,Sydney,器具,Kean Nguyen,10%,1,"Hoover Microwave, White",New South Wales,公司,Hoover,IN-2016-79397,2016/1/3,當日,2016/1/3,$276,辦公用品
-0.083363063,1,-$111.00,-$42.06,大洋洲,Australia,Hobart,電話,Maris LaWare,40%,5,"Apple Audio Dock, Full Size",Tasmania,消費者,Apple,ID-2017-63535,2017/5/10,標準級,2017/5/16,$505,技術
-0.501035197,1,-$111.00,-$4.36,大洋洲,Australia,Hobart,美術,Maris LaWare,40%,1,"Boston Pens, Easy-Erase",Tasmania,消費者,Boston,ID-2017-63535,2017/5/10,標準級,2017/5/16,$9,辦公用品
-0.418710530,1,-$111.00,-$25.66,東南亞,Philippines,Manila,用品,Scot Wooten,45%,3,"Fiskars Box Cutter, Easy Grip",Metro Manila,消費者,Fiskars,ID-2016-65117,2016/7/12,標準級,2016/7/16,$61,辦公用品
0.039902342,1,$0.00,$23.54,東南亞,Philippines,Manila,電話,Scot Wooten,25%,6,"Motorola Speaker Phone, Full Size",Metro Manila,消費者,Motorola,ID-2016-65117,2016/7/12,標準級,2016/7/16,$590,技術
0.399937753,1,$0.00,$86.74,東南亞,Philippines,Manila,繫結器,Scot Wooten,15%,9,"Wilson Jones 3-Hole Punch, Recycled",Metro Manila,消費者,Wilson,ID-2016-65117,2016/7/12,標準級,2016/7/16,$217,辦公用品
-0.110627809,1,-$111.00,-$5.72,東南亞,Philippines,Manila,信封,Scot Wooten,45%,5,"Jiffy Peel and Seal, Recycled",Metro Manila,消費者,Jiffy,ID-2016-65117,2016/7/12,標準級,2016/7/16,$52,辦公用品
-0.253445177,1,-$222.00,-$152.28,東南亞,Philippines,Manila,椅子,Scot Wooten,25%,8,"Harbour Creations Steel Folding Chair, Set of Two",Metro Manila,消費者,Harbour Creations,ID-2016-65117,2016/7/12,標準級,2016/7/16,$601,傢具
-0.092365536,1,-$111.00,-$63.23,東南亞,Philippines,Valencia,複製器,Patrick O'Donnell,35%,4,"Hewlett Copy Machine, Laser",Bukidnon,消費者,Hewlett,ID-2019-39084,2019/6/13,標準級,2019/6/17,$685,技術
-0.679838310,1,-$111.00,-$84.26,東南亞,Indonesia,Bandung,用品,Arianne Irving,47%,5,"Kleencut Shears, High Speed",Jawa Barat,消費者,Kleencut,ID-2019-44908,2019/2/27,標準級,2019/3/4,$124,辦公用品
-0.321763697,1,-$111.00,-$15.31,東南亞,Indonesia,Bandung,紙張,Arianne Irving,47%,2,"Xerox Cards & Envelopes, Recycled",Jawa Barat,消費者,Xerox,ID-2019-44908,2019/2/27,標準級,2019/3/4,$48,辦公用品
-0.204819277,1,-$333.00,-$290.30,東南亞,Indonesia,Denpasar,器具,Henry MacAllister,17%,3,"Hoover Stove, Silver",Bali,消費者,Hoover,ID-2017-73146,2017/10/25,標準級,2017/10/31,"$1,417",辦公用品
-0.189154907,1,-$111.00,-$4.29,東南亞,Indonesia,Denpasar,標籤,Henry MacAllister,47%,6,"Avery Round Labels, Laser Printer Compatible",Bali,消費者,Avery,ID-2017-73146,2017/10/25,標準級,2017/10/31,$23,辦公用品
-0.213381068,1,-$111.00,-$83.15,東南亞,Philippines,Makati,機器,Mick Crebagga,25%,2,"Epson Printer, Red",Metro Manila,消費者,Epson,ID-2019-62926,2019/9/18,一級,2019/9/19,$390,技術
-0.271444027,1,-$333.00,-$284.53,北亞,China,Fushun,桌子,Alejandro Savely,30%,6,"Lesro Coffee Table, Rectangular",Liaoning,公司,Lesro,ID-2019-64914,2019/3/27,一級,2019/3/28,"$1,048",傢具
-0.717045231,1,-$666.00,-$563.80,東南亞,Indonesia,Pekanbaru,桌子,Anthony O'Donnell,47%,3,"Bevis Computer Table, Fully Assembled",Riau,公司,Bevis,ID-2017-57809,2017/10/10,標準級,2017/10/14,$786,傢具
0.054746901,1,$0.00,$4.14,東南亞,Indonesia,Pekanbaru,美術,Anthony O'Donnell,27%,2,"Sanford Canvas, Fluorescent",Riau,公司,Sanford,ID-2017-57809,2017/10/10,標準級,2017/10/14,$76,辦公用品
0.164251137,1,$0.00,$10.05,東南亞,Indonesia,Semarang,美術,Dave Kipp,27%,3,"Binney & Smith Pencil Sharpener, Easy-Erase",Jawa Tengah,消費者,Binney,IN-2018-76464,2018/6/13,一級,2018/6/15,$61,辦公用品
-0.027458799,1,-$111.00,-$6.69,東南亞,Indonesia,Semarang,椅子,Dave Kipp,27%,2,"Novimex Swivel Stool, Adjustable",Jawa Tengah,消費者,Novimex,IN-2018-76464,2018/6/13,一級,2018/6/15,$244,傢具
0.279538905,1,$0.00,$69.84,東南亞,Philippines,Las Pinas,椅子,George Ashbrook,25%,4,"SAFCO Steel Folding Chair, Black",Metro Manila,消費者,Safco,IN-2016-32126,2016/9/3,標準級,2016/9/9,$250,傢具
-0.563860765,1,-$333.00,-$316.61,東南亞,Philippines,Las Pinas,儲存具,George Ashbrook,45%,5,"Tenex Lockers, Single Width",Metro Manila,消費者,Tenex,IN-2016-32126,2016/9/3,標準級,2016/9/9,$561,辦公用品
0.266223488,1,$0.00,$25.23,大洋洲,Australia,Brisbane,美術,Toby Gnade,10%,2,"Stanley Canvas, Water Color",Queensland,消費者,Stanley,IN-2019-12575,2019/11/24,標準級,2019/11/29,$95,辦公用品
0.177223542,1,$0.00,$24.17,大洋洲,Australia,Rockhampton,美術,Jasper Cacioppo,10%,3,"Sanford Canvas, Blue",Queensland,消費者,Sanford,IN-2019-29697,2019/10/6,當日,2019/10/6,$136,辦公用品
0.243379571,1,$0.00,$15.63,大洋洲,Australia,Rockhampton,紙張,Jasper Cacioppo,10%,3,"Green Bar Message Books, Premium",Queensland,消費者,Green Bar,IN-2019-29697,2019/10/6,當日,2019/10/6,$64,辦公用品
0.433328796,1,$333.00,$343.84,大洋洲,Australia,Rockhampton,複製器,Jasper Cacioppo,10%,6,"Brother Ink, Digital",Queensland,消費者,Brother,IN-2019-29697,2019/10/6,當日,2019/10/6,$793,技術
0.010748878,1,$0.00,$0.22,東南亞,Vietnam,Ho Chi Minh City,標籤,Anne McFarland,17%,2,"Novimex Color Coded Labels, Alphabetical",Ho Chí Minh City,消費者,Novimex,IN-2018-55051,2018/7/30,標準級,2018/8/5,$20,辦公用品
-0.773797470,1,-$222.00,-$207.50,東南亞,Vietnam,Ho Chi Minh City,配件,Anne McFarland,47%,5,"Logitech Memory Card, Erganomic",Ho Chí Minh City,消費者,Logitech,IN-2018-55051,2018/7/30,標準級,2018/8/5,$268,技術
-0.358535813,1,-$222.00,-$114.11,東南亞,Vietnam,Ho Chi Minh City,配件,Anne McFarland,47%,6,"Memorex Memory Card, Erganomic",Ho Chí Minh City,消費者,Memorex,IN-2018-55051,2018/7/30,標準級,2018/8/5,$318,技術
0.095161414,1,$0.00,$22.71,東南亞,Vietnam,Ho Chi Minh City,複製器,Anne McFarland,37%,1,"Brother Wireless Fax, Laser",Ho Chí Minh City,消費者,Brother,IN-2018-55051,2018/7/30,標準級,2018/8/5,$239,技術
-0.089047210,1,-$111.00,-$15.86,大洋洲,Australia,Perth,儲存具,Randy Bradley,10%,1,"Eldon Lockers, Blue",Western Australia,消費者,Eldon,ID-2019-76618,2019/8/12,二級,2019/8/14,$178,辦公用品
0.177601015,1,$0.00,$70.53,大洋洲,Australia,Perth,椅子,Randy Bradley,10%,3,"Harbour Creations Rocking Chair, Red",Western Australia,消費者,Harbour Creations,ID-2019-76618,2019/8/12,二級,2019/8/14,$397,傢具
0,1,$0.00,$0.00,大洋洲,Australia,Perth,繫結器,Randy Bradley,10%,14,"Avery Binding Machine, Clear",Western Australia,消費者,Avery,ID-2019-76618,2019/8/12,二級,2019/8/14,$609,辦公用品
0.299951533,1,$0.00,$29.71,大洋洲,Australia,Perth,用具,Randy Bradley,10%,1,"Deflect-O Frame, Black",Western Australia,消費者,Deflect,ID-2019-76618,2019/8/12,二級,2019/8/14,$99,傢具
-0.100569260,1,-$111.00,-$20.03,大洋洲,Australia,Melbourne,繫結器,Lena Cacioppo,10%,7,"Acco 3-Hole Punch, Durable",Victoria,消費者,Acco,ID-2018-34709,2018/4/16,標準級,2018/4/22,$199,辦公用品
0.289920333,1,$222.00,$301.32,中亞,India,Kolhapur,配件,Aaron Bergman,0%,4,"Enermax Router, Programmable",Maharashtra,消費者,Enermax,IN-2017-70325,2017/1/12,標準級,2017/1/16,"$1,039",技術
0.319596299,1,$0.00,$45.60,中亞,India,Kolhapur,配件,Aaron Bergman,0%,2,"Memorex Keyboard, Bluetooth",Maharashtra,消費者,Memorex,IN-2017-70325,2017/1/12,標準級,2017/1/16,$143,技術
0.088469602,1,$0.00,$9.50,大洋洲,Australia,Perth,配件,Darrin Van Huff,10%,3,"Belkin Flash Drive, Erganomic",Western Australia,公司,Belkin,IN-2016-38202,2016/8/18,標準級,2016/8/24,$107,技術
0.188856495,1,$0.00,$26.24,大洋洲,Australia,Perth,繫結器,Darrin Van Huff,10%,3,"Acco Binding Machine, Recycled",Western Australia,公司,Acco,IN-2016-38202,2016/8/18,標準級,2016/8/24,$139,辦公用品
-0.023263381,1,-$111.00,-$0.86,大洋洲,Australia,Perth,信封,Darrin Van Huff,10%,2,"Kraft Peel and Seal, Set of 50",Western Australia,公司,Kraft,IN-2016-38202,2016/8/18,標準級,2016/8/24,$37,辦公用品
0.099938509,1,$0.00,$28.77,大洋洲,Australia,Perth,複製器,Darrin Van Huff,10%,1,"Canon Fax Machine, Color",Western Australia,公司,Canon,IN-2016-38202,2016/8/18,標準級,2016/8/24,$288,技術
0.410930085,1,$0.00,$100.79,大洋洲,Australia,Launceston,電話,Jim Epp,10%,4,"Apple Office Telephone, Cordless",Tasmania,公司,Apple,IN-2017-10790,2017/10/24,標準級,2017/10/28,$245,技術
0.199751526,1,$0.00,$66.56,大洋洲,Australia,Maryborough,書架,Noah Childs,10%,3,"Dania Corner Shelving, Pine",Queensland,公司,Dania,IN-2019-71235,2019/9/17,當日,2019/9/17,$333,傢具
0.277132967,1,$0.00,$24.50,大洋洲,Australia,Maryborough,紙張,Noah Childs,10%,2,"Xerox Cards & Envelopes, 8.5 x 11",Queensland,公司,Xerox,IN-2019-71235,2019/9/17,當日,2019/9/17,$88,辦公用品
0.109976471,1,$333.00,$350.55,中亞,India,Bareilly,電話,Michael Dominguez,0%,5,"Apple Smart Phone, Full Size",Uttar Pradesh,公司,Apple,IN-2017-29571,2017/9/28,標準級,2017/10/4,"$3,188",技術
0.199612403,1,$0.00,$55.62,東南亞,Malaysia,Kuala Lumpur,信封,Karen Bern,0%,6,"Jiffy Interoffice Envelope, Set of 50",Kuala Lumpur,公司,Jiffy,ID-2019-17265,2019/3/1,標準級,2019/3/5,$279,辦公用品
0.299779626,1,$111.00,$113.86,大洋洲,Australia,Mount Gambier,儲存具,Eric Murdock,10%,3,"Rogers File Cart, Blue",South Australia,消費者,Rogers,IN-2018-34702,2018/9/14,標準級,2018/9/19,$380,辦公用品
